Edad,Sexo,Escuela,Tiempo_Estudio,Apoyo_Academico,Promedio_Matematicas,Dificultad_Algebra,Aspectos_Dificiles,Ansiedad_Examen,Ensenanza_Maestro,Apoyo_Familiar,Lugar_Estudio,Uso_Tecnologia,Metodos_Diferentes,Mejoras_Aprendizaje
14,Masculino,Privada,Menos de 1 hora,A veces,Menos de 6,Muy difícil,['Comprensión de conceptos abstractos'],Siempre,Muy clara y fácil de entender,A veces,Sí,"Sí, con frecuencia",Sí,Otras estrategias
15,Prefiero no decirlo,Pública,Menos de 1 hora,No,Entre 8 y 9,Muy fácil,"['Resolución de ecuaciones', 'Comprensión de conceptos abstractos']",A veces,Muy difícil de entender,"Sí, constantemente",Sí,No,No,Más ejercicios prácticos
14,Femenino,Pública,Menos de 1 hora,No,Entre 6 y 7,Muy fácil,"['Resolución de ecuaciones', 'Operaciones con letras y números', 'Problemas de aplicación']",A veces,Muy difícil de entender,No,No,"Sí, con frecuencia",No,Más apoyo del maestro
15,Femenino,Privada,4-6 horas,No,Entre 6 y 7,Muy fácil,['Problemas de aplicación'],Nunca,Muy clara y fácil de entender,No,No,No,No,Clases más dinámicas e interactivas
16,Femenino,Pública,1-3 horas,"Sí, regularmente",Entre 6 y 7,Muy fácil,['Operaciones con letras y números'],Rara vez,A veces difícil de entender,"Sí, constantemente",No,A veces,Sí,Otras estrategias
16,Femenino,Pública,Menos de 1 hora,No,Entre 6 y 7,Fácil,"['Problemas de aplicación', 'Operaciones con letras y números']",Rara vez,Muy clara y fácil de entender,A veces,Sí,A veces,Sí,Más apoyo del maestro
14,Prefiero no decirlo,Privada,Menos de 1 hora,A veces,10,Muy difícil,"['Operaciones con letras y números', 'Comprensión de conceptos abstractos', 'Resolución de ecuaciones']",Rara vez,Muy clara y fácil de entender,"Sí, constantemente",No,No,Sí,Otras estrategias
14,Prefiero no decirlo,Privada,Menos de 1 hora,"Sí, regularmente",10,Fácil,['Resolución de ecuaciones'],Rara vez,Muy difícil de entender,"Sí, constantemente",Sí,No,Sí,Más apoyo del maestro
14,Femenino,Privada,Menos de 1 hora,"Sí, regularmente",Menos de 6,Muy difícil,"['Resolución de ecuaciones', 'Operaciones con letras y números']",Nunca,A veces difícil de entender,"Sí, constantemente",Sí,A veces,Sí,Otras estrategias
15,Femenino,Pública,4-6 horas,A veces,Entre 8 y 9,Difícil,['Resolución de ecuaciones'],Rara vez,Muy clara y fácil de entender,A veces,Sí,No,Sí,Otras estrategias
16,Femenino,Pública,Menos de 1 hora,"Sí, regularmente",10,Muy difícil,"['Operaciones con letras y números', 'Resolución de ecuaciones', 'Comprensión de conceptos abstractos']",Siempre,Muy clara y fácil de entender,No,No,No,No,Otras estrategias
15,Prefiero no decirlo,Pública,1-3 horas,A veces,10,Muy difícil,['Resolución de ecuaciones'],A veces,A veces difícil de entender,No,No,"Sí, con frecuencia",No,Clases más dinámicas e interactivas
15,Femenino,Privada,Menos de 1 hora,"Sí, regularmente",Menos de 6,Muy difícil,"['Problemas de aplicación', 'Comprensión de conceptos abstractos', 'Resolución de ecuaciones']",Siempre,Muy difícil de entender,A veces,Sí,A veces,No,Más ejercicios prácticos
16,Prefiero no decirlo,Pública,Menos de 1 hora,No,Entre 8 y 9,Difícil,['Resolución de ecuaciones'],A veces,A veces difícil de entender,No,No,A veces,No,Otras estrategias
16,Masculino,Privada,1-3 horas,"Sí, regularmente",Entre 6 y 7,Fácil,"['Operaciones con letras y números', 'Comprensión de conceptos abstractos', 'Problemas de aplicación']",Nunca,Muy difícil de entender,No,No,A veces,No,Más ejercicios prácticos
15,Femenino,Privada,Menos de 1 hora,A veces,Menos de 6,Difícil,"['Problemas de aplicación', 'Comprensión de conceptos abstractos', 'Resolución de ecuaciones']",A veces,Muy clara y fácil de entender,A veces,No,No,Sí,Clases más dinámicas e interactivas
16,Femenino,Pública,Menos de 1 hora,"Sí, regularmente",Menos de 6,Fácil,"['Operaciones con letras y números', 'Resolución de ecuaciones', 'Problemas de aplicación']",Rara vez,Muy difícil de entender,"Sí, constantemente",No,No,Sí,Otras estrategias
15,Femenino,Pública,Más de 6 horas,"Sí, regularmente",10,Muy fácil,['Resolución de ecuaciones'],Siempre,Muy clara y fácil de entender,No,Sí,"Sí, con frecuencia",No,Clases más dinámicas e interactivas
15,Prefiero no decirlo,Pública,1-3 horas,"Sí, regularmente",Entre 6 y 7,Difícil,['Comprensión de conceptos abstractos'],Siempre,Muy clara y fácil de entender,"Sí, constantemente",No,No,Sí,Más apoyo del maestro
16,Masculino,Pública,4-6 horas,"Sí, regularmente",10,Difícil,"['Resolución de ecuaciones', 'Comprensión de conceptos abstractos', 'Operaciones con letras y números']",A veces,Muy difícil de entender,"Sí, constantemente",Sí,"Sí, con frecuencia",Sí,Clases más dinámicas e interactivas
14,Prefiero no decirlo,Pública,Más de 6 horas,No,10,Muy difícil,"['Comprensión de conceptos abstractos', 'Operaciones con letras y números']",A veces,Muy difícil de entender,"Sí, constantemente",No,"Sí, con frecuencia",Sí,Clases más dinámicas e interactivas
15,Masculino,Pública,Más de 6 horas,No,Entre 8 y 9,Muy difícil,"['Resolución de ecuaciones', 'Problemas de aplicación', 'Comprensión de conceptos abstractos']",Nunca,Muy difícil de entender,No,No,No,Sí,Clases más dinámicas e interactivas
14,Femenino,Pública,4-6 horas,No,Entre 6 y 7,Difícil,"['Comprensión de conceptos abstractos', 'Resolución de ecuaciones', 'Operaciones con letras y números']",Siempre,Muy clara y fácil de entender,A veces,No,A veces,Sí,Más ejercicios prácticos
14,Prefiero no decirlo,Privada,1-3 horas,No,10,Muy fácil,"['Resolución de ecuaciones', 'Operaciones con letras y números']",A veces,Muy clara y fácil de entender,No,Sí,"Sí, con frecuencia",Sí,Otras estrategias
14,Prefiero no decirlo,Privada,4-6 horas,"Sí, regularmente",Entre 8 y 9,Fácil,"['Problemas de aplicación', 'Resolución de ecuaciones', 'Comprensión de conceptos abstractos']",Nunca,Muy difícil de entender,A veces,No,"Sí, con frecuencia",No,Más ejercicios prácticos
14,Femenino,Pública,Más de 6 horas,A veces,Menos de 6,Fácil,"['Operaciones con letras y números', 'Problemas de aplicación', 'Comprensión de conceptos abstractos']",Siempre,A veces difícil de entender,No,No,No,No,Otras estrategias
14,Femenino,Pública,Más de 6 horas,"Sí, regularmente",Menos de 6,Muy fácil,['Problemas de aplicación'],Nunca,Muy difícil de entender,No,Sí,No,No,Otras estrategias
15,Prefiero no decirlo,Privada,1-3 horas,No,10,Muy difícil,"['Operaciones con letras y números', 'Resolución de ecuaciones']",Siempre,Muy difícil de entender,A veces,Sí,A veces,No,Más apoyo del maestro
15,Masculino,Pública,Más de 6 horas,A veces,Entre 6 y 7,Difícil,"['Problemas de aplicación', 'Operaciones con letras y números']",Rara vez,Muy difícil de entender,No,No,No,Sí,Clases más dinámicas e interactivas
14,Prefiero no decirlo,Privada,1-3 horas,"Sí, regularmente",10,Difícil,"['Comprensión de conceptos abstractos', 'Problemas de aplicación']",A veces,Muy difícil de entender,A veces,No,A veces,Sí,Otras estrategias
16,Prefiero no decirlo,Privada,4-6 horas,"Sí, regularmente",Entre 8 y 9,Muy difícil,"['Comprensión de conceptos abstractos', 'Problemas de aplicación']",Nunca,Muy difícil de entender,"Sí, constantemente",No,A veces,No,Más apoyo del maestro
16,Femenino,Pública,Más de 6 horas,"Sí, regularmente",Entre 8 y 9,Muy fácil,['Resolución de ecuaciones'],Siempre,Muy clara y fácil de entender,No,Sí,"Sí, con frecuencia",No,Clases más dinámicas e interactivas
16,Femenino,Pública,1-3 horas,"Sí, regularmente",10,Difícil,['Comprensión de conceptos abstractos'],Siempre,Muy clara y fácil de entender,"Sí, constantemente",Sí,"Sí, con frecuencia",Sí,Más apoyo del maestro
14,Femenino,Privada,Menos de 1 hora,A veces,Menos de 6,Difícil,['Problemas de aplicación'],A veces,Muy difícil de entender,No,Sí,No,Sí,Otras estrategias
15,Prefiero no decirlo,Privada,Menos de 1 hora,A veces,Entre 8 y 9,Difícil,['Comprensión de conceptos abstractos'],Siempre,A veces difícil de entender,A veces,No,No,Sí,Más apoyo del maestro
16,Prefiero no decirlo,Pública,1-3 horas,A veces,Entre 8 y 9,Muy difícil,"['Comprensión de conceptos abstractos', 'Operaciones con letras y números']",Rara vez,Muy clara y fácil de entender,A veces,Sí,"Sí, con frecuencia",No,Otras estrategias
15,Masculino,Pública,Más de 6 horas,A veces,Entre 6 y 7,Muy difícil,['Comprensión de conceptos abstractos'],Siempre,A veces difícil de entender,"Sí, constantemente",No,No,Sí,Otras estrategias
16,Masculino,Privada,4-6 horas,A veces,Entre 6 y 7,Muy fácil,['Resolución de ecuaciones'],Rara vez,A veces difícil de entender,No,Sí,A veces,Sí,Clases más dinámicas e interactivas
14,Masculino,Privada,Menos de 1 hora,No,Menos de 6,Difícil,"['Operaciones con letras y números', 'Problemas de aplicación', 'Resolución de ecuaciones']",Siempre,A veces difícil de entender,"Sí, constantemente",Sí,No,No,Clases más dinámicas e interactivas
16,Prefiero no decirlo,Pública,Más de 6 horas,"Sí, regularmente",Entre 8 y 9,Muy difícil,"['Comprensión de conceptos abstractos', 'Problemas de aplicación', 'Resolución de ecuaciones']",Rara vez,Muy difícil de entender,"Sí, constantemente",No,"Sí, con frecuencia",Sí,Más ejercicios prácticos
14,Masculino,Privada,Más de 6 horas,"Sí, regularmente",10,Muy difícil,['Operaciones con letras y números'],Nunca,A veces difícil de entender,A veces,No,A veces,Sí,Más ejercicios prácticos
16,Masculino,Privada,Más de 6 horas,"Sí, regularmente",Entre 6 y 7,Fácil,['Problemas de aplicación'],Siempre,Muy difícil de entender,A veces,No,A veces,No,Clases más dinámicas e interactivas
16,Femenino,Pública,Más de 6 horas,No,Menos de 6,Muy difícil,['Operaciones con letras y números'],Nunca,Muy clara y fácil de entender,"Sí, constantemente",Sí,A veces,Sí,Otras estrategias
14,Masculino,Privada,Más de 6 horas,No,Entre 8 y 9,Fácil,['Resolución de ecuaciones'],Siempre,A veces difícil de entender,"Sí, constantemente",Sí,A veces,No,Más apoyo del maestro
15,Prefiero no decirlo,Privada,1-3 horas,No,10,Muy difícil,['Comprensión de conceptos abstractos'],Nunca,Muy difícil de entender,A veces,No,A veces,No,Clases más dinámicas e interactivas
14,Prefiero no decirlo,Pública,1-3 horas,No,Menos de 6,Muy fácil,['Problemas de aplicación'],Rara vez,Muy clara y fácil de entender,A veces,Sí,A veces,No,Más ejercicios prácticos
16,Prefiero no decirlo,Privada,Más de 6 horas,A veces,10,Muy fácil,"['Resolución de ecuaciones', 'Comprensión de conceptos abstractos', 'Operaciones con letras y números']",Nunca,Muy difícil de entender,"Sí, constantemente",Sí,No,Sí,Más ejercicios prácticos
16,Prefiero no decirlo,Privada,1-3 horas,"Sí, regularmente",Entre 8 y 9,Fácil,"['Resolución de ecuaciones', 'Problemas de aplicación']",A veces,Muy clara y fácil de entender,No,Sí,No,Sí,Otras estrategias
16,Femenino,Pública,4-6 horas,No,10,Fácil,"['Resolución de ecuaciones', 'Problemas de aplicación']",A veces,Muy difícil de entender,"Sí, constantemente",Sí,A veces,Sí,Clases más dinámicas e interactivas
15,Femenino,Privada,Menos de 1 hora,No,10,Muy difícil,['Resolución de ecuaciones'],Rara vez,A veces difícil de entender,No,Sí,No,Sí,Clases más dinámicas e interactivas
15,Femenino,Privada,Menos de 1 hora,"Sí, regularmente",Menos de 6,Muy fácil,['Comprensión de conceptos abstractos'],A veces,A veces difícil de entender,"Sí, constantemente",Sí,No,No,Otras estrategias
15,Femenino,Pública,4-6 horas,No,10,Muy fácil,['Resolución de ecuaciones'],A veces,Muy clara y fácil de entender,"Sí, constantemente",Sí,"Sí, con frecuencia",Sí,Clases más dinámicas e interactivas
15,Masculino,Pública,4-6 horas,"Sí, regularmente",Menos de 6,Muy difícil,"['Problemas de aplicación', 'Operaciones con letras y números', 'Resolución de ecuaciones']",A veces,Muy clara y fácil de entender,"Sí, constantemente",Sí,A veces,Sí,Más ejercicios prácticos
14,Prefiero no decirlo,Pública,1-3 horas,A veces,10,Muy difícil,"['Problemas de aplicación', 'Operaciones con letras y números', 'Comprensión de conceptos abstractos']",Nunca,A veces difícil de entender,No,No,"Sí, con frecuencia",Sí,Otras estrategias
15,Prefiero no decirlo,Privada,4-6 horas,No,10,Muy fácil,"['Comprensión de conceptos abstractos', 'Operaciones con letras y números', 'Problemas de aplicación']",A veces,Muy clara y fácil de entender,"Sí, constantemente",Sí,A veces,No,Clases más dinámicas e interactivas
15,Femenino,Pública,1-3 horas,No,Entre 6 y 7,Muy fácil,"['Problemas de aplicación', 'Operaciones con letras y números']",Nunca,Muy difícil de entender,A veces,No,A veces,No,Clases más dinámicas e interactivas
14,Masculino,Privada,1-3 horas,No,Entre 6 y 7,Muy difícil,"['Comprensión de conceptos abstractos', 'Problemas de aplicación', 'Resolución de ecuaciones']",Rara vez,A veces difícil de entender,"Sí, constantemente",No,A veces,No,Clases más dinámicas e interactivas
16,Femenino,Pública,4-6 horas,"Sí, regularmente",Entre 6 y 7,Muy difícil,"['Resolución de ecuaciones', 'Problemas de aplicación']",A veces,Muy difícil de entender,No,No,No,Sí,Más apoyo del maestro
14,Femenino,Privada,1-3 horas,"Sí, regularmente",Menos de 6,Fácil,['Resolución de ecuaciones'],Siempre,A veces difícil de entender,"Sí, constantemente",No,A veces,Sí,Otras estrategias
16,Femenino,Privada,1-3 horas,"Sí, regularmente",Entre 6 y 7,Difícil,"['Comprensión de conceptos abstractos', 'Problemas de aplicación']",Nunca,Muy difícil de entender,No,Sí,"Sí, con frecuencia",No,Más apoyo del maestro
15,Prefiero no decirlo,Pública,4-6 horas,"Sí, regularmente",Entre 8 y 9,Difícil,"['Problemas de aplicación', 'Resolución de ecuaciones', 'Comprensión de conceptos abstractos']",Nunca,Muy difícil de entender,No,No,No,Sí,Más apoyo del maestro
16,Femenino,Pública,Más de 6 horas,No,Entre 8 y 9,Difícil,"['Comprensión de conceptos abstractos', 'Resolución de ecuaciones']",A veces,Muy clara y fácil de entender,"Sí, constantemente",No,No,Sí,Otras estrategias
16,Prefiero no decirlo,Privada,4-6 horas,"Sí, regularmente",Entre 6 y 7,Fácil,"['Comprensión de conceptos abstractos', 'Problemas de aplicación', 'Operaciones con letras y números']",Rara vez,A veces difícil de entender,A veces,No,"Sí, con frecuencia",No,Otras estrategias
16,Prefiero no decirlo,Pública,Más de 6 horas,No,Entre 6 y 7,Fácil,['Resolución de ecuaciones'],Siempre,A veces difícil de entender,A veces,No,No,No,Más apoyo del maestro
15,Prefiero no decirlo,Privada,4-6 horas,No,Menos de 6,Muy fácil,"['Operaciones con letras y números', 'Problemas de aplicación']",Nunca,Muy difícil de entender,A veces,Sí,"Sí, con frecuencia",Sí,Más apoyo del maestro
16,Prefiero no decirlo,Pública,Más de 6 horas,"Sí, regularmente",Menos de 6,Muy difícil,"['Resolución de ecuaciones', 'Problemas de aplicación']",A veces,Muy difícil de entender,"Sí, constantemente",Sí,No,Sí,Otras estrategias
16,Prefiero no decirlo,Privada,Más de 6 horas,No,10,Muy fácil,"['Comprensión de conceptos abstractos', 'Operaciones con letras y números']",Rara vez,A veces difícil de entender,"Sí, constantemente",No,A veces,No,Más ejercicios prácticos
14,Femenino,Pública,Más de 6 horas,"Sí, regularmente",10,Fácil,"['Operaciones con letras y números', 'Comprensión de conceptos abstractos']",Rara vez,Muy clara y fácil de entender,No,No,"Sí, con frecuencia",Sí,Más apoyo del maestro
15,Masculino,Pública,1-3 horas,A veces,Entre 6 y 7,Muy difícil,"['Comprensión de conceptos abstractos', 'Resolución de ecuaciones', 'Operaciones con letras y números']",Nunca,Muy difícil de entender,"Sí, constantemente",No,"Sí, con frecuencia",Sí,Más apoyo del maestro
16,Prefiero no decirlo,Privada,1-3 horas,"Sí, regularmente",Entre 6 y 7,Muy fácil,"['Comprensión de conceptos abstractos', 'Problemas de aplicación', 'Operaciones con letras y números']",Siempre,Muy clara y fácil de entender,"Sí, constantemente",Sí,"Sí, con frecuencia",No,Clases más dinámicas e interactivas
15,Femenino,Privada,1-3 horas,"Sí, regularmente",Entre 8 y 9,Fácil,"['Comprensión de conceptos abstractos', 'Resolución de ecuaciones', 'Operaciones con letras y números']",Siempre,Muy clara y fácil de entender,A veces,Sí,No,No,Clases más dinámicas e interactivas
16,Femenino,Pública,Menos de 1 hora,A veces,Menos de 6,Muy fácil,"['Operaciones con letras y números', 'Resolución de ecuaciones', 'Problemas de aplicación']",Siempre,Muy difícil de entender,A veces,Sí,No,No,Más ejercicios prácticos
15,Masculino,Privada,1-3 horas,No,Entre 6 y 7,Fácil,"['Comprensión de conceptos abstractos', 'Problemas de aplicación', 'Operaciones con letras y números']",Rara vez,A veces difícil de entender,"Sí, constantemente",No,A veces,Sí,Más ejercicios prácticos
16,Prefiero no decirlo,Pública,Más de 6 horas,"Sí, regularmente",10,Muy fácil,"['Resolución de ecuaciones', 'Problemas de aplicación']",Nunca,A veces difícil de entender,"Sí, constantemente",Sí,No,No,Más apoyo del maestro
14,Masculino,Pública,Menos de 1 hora,"Sí, regularmente",Menos de 6,Muy fácil,"['Problemas de aplicación', 'Operaciones con letras y números', 'Resolución de ecuaciones']",Rara vez,Muy difícil de entender,No,Sí,A veces,No,Clases más dinámicas e interactivas
16,Prefiero no decirlo,Privada,Más de 6 horas,"Sí, regularmente",10,Fácil,['Resolución de ecuaciones'],Siempre,Muy difícil de entender,No,No,No,No,Clases más dinámicas e interactivas
15,Prefiero no decirlo,Pública,1-3 horas,A veces,Menos de 6,Muy fácil,"['Comprensión de conceptos abstractos', 'Operaciones con letras y números']",Nunca,A veces difícil de entender,"Sí, constantemente",Sí,"Sí, con frecuencia",Sí,Más ejercicios prácticos
14,Femenino,Pública,1-3 horas,A veces,Entre 8 y 9,Muy fácil,"['Problemas de aplicación', 'Comprensión de conceptos abstractos']",Rara vez,Muy clara y fácil de entender,A veces,Sí,A veces,No,Más ejercicios prácticos
14,Femenino,Privada,Menos de 1 hora,"Sí, regularmente",Entre 8 y 9,Difícil,"['Resolución de ecuaciones', 'Problemas de aplicación', 'Comprensión de conceptos abstractos']",Nunca,Muy clara y fácil de entender,No,Sí,"Sí, con frecuencia",No,Más apoyo del maestro
14,Masculino,Privada,4-6 horas,No,Entre 6 y 7,Fácil,"['Resolución de ecuaciones', 'Comprensión de conceptos abstractos']",Siempre,Muy difícil de entender,No,No,No,No,Más apoyo del maestro
16,Femenino,Pública,1-3 horas,No,Menos de 6,Difícil,"['Operaciones con letras y números', 'Comprensión de conceptos abstractos', 'Resolución de ecuaciones']",Rara vez,Muy clara y fácil de entender,A veces,Sí,No,No,Más apoyo del maestro
14,Prefiero no decirlo,Pública,1-3 horas,A veces,Entre 6 y 7,Muy fácil,['Problemas de aplicación'],A veces,A veces difícil de entender,"Sí, constantemente",Sí,A veces,No,Clases más dinámicas e interactivas
15,Prefiero no decirlo,Pública,4-6 horas,A veces,10,Muy difícil,"['Problemas de aplicación', 'Comprensión de conceptos abstractos', 'Resolución de ecuaciones']",Rara vez,Muy clara y fácil de entender,"Sí, constantemente",Sí,No,Sí,Más ejercicios prácticos
14,Masculino,Privada,Menos de 1 hora,"Sí, regularmente",Menos de 6,Fácil,['Problemas de aplicación'],Rara vez,Muy difícil de entender,"Sí, constantemente",Sí,A veces,No,Clases más dinámicas e interactivas
14,Masculino,Privada,1-3 horas,A veces,10,Muy fácil,"['Resolución de ecuaciones', 'Operaciones con letras y números', 'Problemas de aplicación']",Rara vez,A veces difícil de entender,"Sí, constantemente",No,A veces,No,Otras estrategias
14,Masculino,Pública,Más de 6 horas,No,10,Difícil,"['Resolución de ecuaciones', 'Problemas de aplicación', 'Operaciones con letras y números']",A veces,Muy difícil de entender,A veces,No,A veces,No,Clases más dinámicas e interactivas
14,Femenino,Privada,1-3 horas,A veces,10,Muy fácil,"['Operaciones con letras y números', 'Comprensión de conceptos abstractos']",Rara vez,Muy clara y fácil de entender,A veces,Sí,No,No,Más ejercicios prácticos
16,Prefiero no decirlo,Privada,Más de 6 horas,"Sí, regularmente",Entre 6 y 7,Muy fácil,"['Resolución de ecuaciones', 'Operaciones con letras y números']",Nunca,A veces difícil de entender,"Sí, constantemente",Sí,"Sí, con frecuencia",No,Más apoyo del maestro
16,Prefiero no decirlo,Pública,Menos de 1 hora,"Sí, regularmente",Entre 8 y 9,Difícil,"['Resolución de ecuaciones', 'Operaciones con letras y números']",Nunca,Muy difícil de entender,A veces,Sí,"Sí, con frecuencia",No,Clases más dinámicas e interactivas
14,Masculino,Pública,4-6 horas,No,Entre 6 y 7,Difícil,"['Comprensión de conceptos abstractos', 'Operaciones con letras y números', 'Resolución de ecuaciones']",Nunca,Muy clara y fácil de entender,A veces,Sí,No,No,Más ejercicios prácticos
15,Femenino,Pública,Menos de 1 hora,No,Entre 8 y 9,Muy difícil,"['Resolución de ecuaciones', 'Comprensión de conceptos abstractos']",A veces,Muy difícil de entender,"Sí, constantemente",Sí,"Sí, con frecuencia",No,Otras estrategias
14,Prefiero no decirlo,Pública,1-3 horas,No,Entre 8 y 9,Muy difícil,"['Operaciones con letras y números', 'Problemas de aplicación', 'Resolución de ecuaciones']",Rara vez,Muy clara y fácil de entender,No,No,A veces,No,Otras estrategias
16,Prefiero no decirlo,Privada,Menos de 1 hora,A veces,10,Fácil,"['Problemas de aplicación', 'Resolución de ecuaciones']",A veces,A veces difícil de entender,"Sí, constantemente",No,A veces,Sí,Otras estrategias
16,Femenino,Pública,1-3 horas,"Sí, regularmente",Menos de 6,Muy difícil,"['Operaciones con letras y números', 'Comprensión de conceptos abstractos']",Siempre,Muy clara y fácil de entender,No,No,A veces,No,Más apoyo del maestro
14,Prefiero no decirlo,Privada,Más de 6 horas,No,Entre 6 y 7,Muy difícil,['Problemas de aplicación'],Rara vez,Muy difícil de entender,"Sí, constantemente",Sí,A veces,No,Más apoyo del maestro
16,Masculino,Privada,4-6 horas,A veces,Entre 8 y 9,Fácil,"['Resolución de ecuaciones', 'Operaciones con letras y números', 'Problemas de aplicación']",A veces,A veces difícil de entender,A veces,No,"Sí, con frecuencia",No,Clases más dinámicas e interactivas
16,Prefiero no decirlo,Privada,Más de 6 horas,A veces,Entre 6 y 7,Fácil,"['Problemas de aplicación', 'Resolución de ecuaciones']",Siempre,Muy clara y fácil de entender,"Sí, constantemente",No,"Sí, con frecuencia",Sí,Otras estrategias
14,Masculino,Pública,4-6 horas,"Sí, regularmente",Entre 6 y 7,Muy fácil,"['Resolución de ecuaciones', 'Operaciones con letras y números', 'Comprensión de conceptos abstractos']",Rara vez,A veces difícil de entender,No,Sí,No,Sí,Otras estrategias
15,Femenino,Pública,Más de 6 horas,"Sí, regularmente",Menos de 6,Muy fácil,['Operaciones con letras y números'],Siempre,Muy difícil de entender,"Sí, constantemente",Sí,"Sí, con frecuencia",No,Más ejercicios prácticos
14,Masculino,Privada,Más de 6 horas,"Sí, regularmente",10,Fácil,"['Resolución de ecuaciones', 'Comprensión de conceptos abstractos']",A veces,Muy clara y fácil de entender,No,Sí,No,No,Más ejercicios prácticos